"IRIweek","SKU.","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","month","season","V17"
648,38,0,0,4.39,0,0,0,"DWN","B","RG","LR",0,0,2,"winter",0.0135855390359101
648,39,0,0,5.166,0,0,0,"DWN","B","LT","XL",0,0,2,"winter",0.401110839537565
648,40,0,0,1.767,0,0,0,"DWN","B","LT","SM",0,0,2,"winter",-0.0462154671438035
648,41,5,1,3.19,2.49,3.19,0.7,"DWN","B","LT","MD",0,0,2,"winter",4.49980966080948
648,42,0,0,4.362,0,0,0,"DWN","B","LT","LR",4,0,2,"winter",0.000889234428989916
648,44,14,6,2.743,1.99,2.79,0.8,"DWN","F","RG","SM",0,2,2,"winter",7.45514680063033
648,45,0,1,4.905,0,0,0,"DWN","F","RG","MD",7,0,2,"winter",0.475046747483278
648,46,12,2,2.743,1.99,2.79,0.8,"DWN","F","LT","SM",0,0,2,"winter",6.77304558704003
648,50,0,0,1.89,0,0,0,"DWN","S","RG","SM",0,0,2,"winter",0.186619439271043
648,51,1,0,2.848,2.59,2.59,0,"DWN","S","RG","MD",2,0,2,"winter",1.40237897705594
648,53,2,1,2.848,2.59,2.59,0,"DWN","S","LT","MD",0,0,2,"winter",1.46644288003767
648,61,0,1,1.378,0,0,0,"FNT","B","RG","SM",0,0,2,"winter",0.112713736871492
